ID,Title,Description,Category,Price,Min_Price,Zip_Code,Photo_Paths,Status,Marketplace_URL,Notes
18,US Military Medium ALICE Pack - Olive Drab,"Genuine medium ALICE (All-Purpose Lightweight Individual Carrying Equipment) pack. Rugged design, great for camping, hunting, or survival gear.",Camping & Hiking ; Backpacks,55,10,18614,"https://mikethemerchant.github.io/marketplaceimages/18_1.jpg,https://mikethemerchant.github.io/marketplaceimages/18_2.jpg,https://mikethemerchant.github.io/marketplaceimages/18_3.jpg,https://mikethemerchant.github.io/marketplaceimages/18_4.jpg,https://mikethemerchant.github.io/marketplaceimages/18_5.jpg",Draft,,
22,Rockwell 3 Inch Electric Saw - Compact Power Tool,"Rockwell 3 inch compact electric saw in excellent condition. Great for cutting wood, tile, and light materials.",Tools ; Power Tools ; Saws,40,10,18614,"https://mikethemerchant.github.io/marketplaceimages/22_1.jpg,https://mikethemerchant.github.io/marketplaceimages/22_2.jpg,https://mikethemerchant.github.io/marketplaceimages/22_3.jpg,https://mikethemerchant.github.io/marketplaceimages/22_4.jpg,https://mikethemerchant.github.io/marketplaceimages/22_5.jpg",Draft,,
24,Stanley FatMax Portable Toolbox - Used,"Sturdy Stanley FatMax toolbox, portable and rugged. Some signs of use, but fully functional.",Tools ; Tool Storage ; Toolboxes,75,5,18614,"https://mikethemerchant.github.io/marketplaceimages/24_1.jpg,https://mikethemerchant.github.io/marketplaceimages/24_2.jpg,https://mikethemerchant.github.io/marketplaceimages/24_3.jpg,https://mikethemerchant.github.io/marketplaceimages/24_4.jpg,https://mikethemerchant.github.io/marketplaceimages/24_5.jpg,https://mikethemerchant.github.io/marketplaceimages/24_6.jpg,https://mikethemerchant.github.io/marketplaceimages/24_7.jpg",Draft,,
26,Mount Laurel Hiking Backpack - Large Capacity,"Mount Laurel hiking backpack, rugged design for long treks and camping trips. Excellent condition.",Camping & Hiking ; Backpacks,150,100,18614,"https://mikethemerchant.github.io/marketplaceimages/26_1.jpg,https://mikethemerchant.github.io/marketplaceimages/26_2.jpg",Draft,,
28,Mountain Laurel Design Silnylon Camping TarpWaterproof Shelter,"Ultralight silnylon tarp, great for backpacking and camping. Compact, waterproof, and in excellent condition.",Camping & Hiking ; Tents & Shelters,120,100,18614,"https://mikethemerchant.github.io/marketplaceimages/28_1.jpg,https://mikethemerchant.github.io/marketplaceimages/28_2.jpg",Draft,,
27,Mountain Laurel Design Bivi Bag - Camping/Survival Shelter,Military-style waterproof bivy bag. Excellent for ultralight camping or survival gear.,Camping & Hiking ; Sleeping Gear,100,75,18614,"https://mikethemerchant.github.io/marketplaceimages/27_1.jpg,https://mikethemerchant.github.io/marketplaceimages/27_2.jpg,https://mikethemerchant.github.io/marketplaceimages/27_3.jpg",Draft,,
29,Hammock Gear Lightweight Quilted Burrow Sleeping Bag - Camping/Hiking,"High-quality lightweight burrow-style sleeping bag. Warm, compact, and in like-new condition.",Camping & Hiking ; Sleeping Gear,120,50,18614,"https://mikethemerchant.github.io/marketplaceimages/29_1.jpg,https://mikethemerchant.github.io/marketplaceimages/29_2.jpg,https://mikethemerchant.github.io/marketplaceimages/29_3.jpg",Draft,,
30,Therm-a-Rest Ground Sleeping Pad - Like New,"Therm-a-Rest camping ground pad, great for insulation and comfort while sleeping outdoors.",Camping & Hiking ; Sleeping Gear,50,30,18614,"https://mikethemerchant.github.io/marketplaceimages/30_1.jpg,https://mikethemerchant.github.io/marketplaceimages/30_2.jpg",Draft,,
32,Vargo Titanium Cut Bot and Stove Kit Mug,"Vargo titanium cup, lightweight and durable for backpacking or camping. Like new.",Camping & Hiking ; Camp Kitchen ; Cookware,50,40,18614,"https://mikethemerchant.github.io/marketplaceimages/32_1.jpg,https://mikethemerchant.github.io/marketplaceimages/32_2.jpg,https://mikethemerchant.github.io/marketplaceimages/32_3.jpg,https://mikethemerchant.github.io/marketplaceimages/32_4.jpg,https://mikethemerchant.github.io/marketplaceimages/32_5.jpg,https://mikethemerchant.github.io/marketplaceimages/32_6.jpg,https://mikethemerchant.github.io/marketplaceimages/32_7.jpg",Draft,,
33,Sawyer Mini Water Filter - Compact Portable System,"Sawyer Mini water filtration system, small and lightweight. Excellent for backpacking, camping, and emergency use.",Camping & Hiking ; Water Filtration,20,10,18614,"https://mikethemerchant.github.io/marketplaceimages/33_1.jpg,https://mikethemerchant.github.io/marketplaceimages/33_2.jpg,https://mikethemerchant.github.io/marketplaceimages/33_3.jpg",Draft,,
34,Granite Gear Hiking Backpack - Lightweight & Rugged,"Granite Gear hiking backpack, large capacity, lightweight yet tough design. Great for backpacking and camping.",Camping & Hiking ; Backpacks,100,50,18614,"https://mikethemerchant.github.io/marketplaceimages/34_1.jpg,https://mikethemerchant.github.io/marketplaceimages/34_2.jpg,https://mikethemerchant.github.io/marketplaceimages/34_3.jpg",Draft,,
35,Outdoor Research Waterproof Rain Jacket and Rain pants - Outdoor Gear,"High-quality waterproof rain gear topand bottom. Lightweight and breathable, perfect for camping, hiking, and outdoor activities.",Camping & Hiking ; Clothing ; Rainwear,125,100,18614,"https://mikethemerchant.github.io/marketplaceimages/35_1.jpg,https://mikethemerchant.github.io/marketplaceimages/35_2.jpg,https://mikethemerchant.github.io/marketplaceimages/35_3.jpg,https://mikethemerchant.github.io/marketplaceimages/35_4.jpg,https://mikethemerchant.github.io/marketplaceimages/35_5.jpg,https://mikethemerchant.github.io/marketplaceimages/35_6.jpg,https://mikethemerchant.github.io/marketplaceimages/35_7.jpg,https://mikethemerchant.github.io/marketplaceimages/35_8.jpg,https://mikethemerchant.github.io/marketplaceimages/35_9.jpg,https://mikethemerchant.github.io/marketplaceimages/35_10.jpg,https://mikethemerchant.github.io/marketplaceimages/35_11.jpg",Draft,,
36,Netgear VPN Router - Secure Encrypted Internet Device,VPN router for private browsing and secure internet connections. Excellent condition.,Electronics ; Networking ; Routers,100,50,18614,"https://mikethemerchant.github.io/marketplaceimages/36_1.jpg,https://mikethemerchant.github.io/marketplaceimages/36_2.jpg,https://mikethemerchant.github.io/marketplaceimages/36_3.jpg,https://mikethemerchant.github.io/marketplaceimages/36_4.jpg",Draft,,
38,"Quadcopter Drone - HD Camera, Like New","Drone with HD camera, stable flight, and multiple functions. Great for beginners and hobby flyers.",Electronics ; Drones,125,75,18614,"https://mikethemerchant.github.io/marketplaceimages/38_1.jpg,https://mikethemerchant.github.io/marketplaceimages/38_2.jpg,https://mikethemerchant.github.io/marketplaceimages/38_3.jpg,https://mikethemerchant.github.io/marketplaceimages/38_4.jpg,https://mikethemerchant.github.io/marketplaceimages/38_5.jpg,https://mikethemerchant.github.io/marketplaceimages/38_6.jpg,https://mikethemerchant.github.io/marketplaceimages/38_7.jpg,https://mikethemerchant.github.io/marketplaceimages/38_8.jpg",Draft,,
39,Fanatec ClubSport Shifter SQ - Sim Racing Gear,"Fanatec ClubSport SQ shifter for racing simulators. High-quality build, excellent condition.",Electronics ; Video Game Accessories ; Racing Gear,450,350,18614,"https://mikethemerchant.github.io/marketplaceimages/39_1.jpg,https://mikethemerchant.github.io/marketplaceimages/39_2.jpg,https://mikethemerchant.github.io/marketplaceimages/39_3.jpg,https://mikethemerchant.github.io/marketplaceimages/39_4.jpg,https://mikethemerchant.github.io/marketplaceimages/39_5.jpg,https://mikethemerchant.github.io/marketplaceimages/39_6.jpg,https://mikethemerchant.github.io/marketplaceimages/39_7.jpg,https://mikethemerchant.github.io/marketplaceimages/39_8.jpg",Draft,,
40,"Fanatec Gran Turismo DD Pro Wheelbase, Boost Kit and Load Cell Brake kit","Fanatec GT Pro direct drive wheelbase, designed for sim racing. Powerful force feedback, like new.",Electronics ; Video Game Accessories ; Racing Gear,750,500,18614,"https://mikethemerchant.github.io/marketplaceimages/40_1.jpg,https://mikethemerchant.github.io/marketplaceimages/40_2.jpg,https://mikethemerchant.github.io/marketplaceimages/40_3.jpg,https://mikethemerchant.github.io/marketplaceimages/40_4.jpg,https://mikethemerchant.github.io/marketplaceimages/40_5.jpg,https://mikethemerchant.github.io/marketplaceimages/40_6.jpg,https://mikethemerchant.github.io/marketplaceimages/40_7.jpg,https://mikethemerchant.github.io/marketplaceimages/40_8.jpg,https://mikethemerchant.github.io/marketplaceimages/40_9.jpg,https://mikethemerchant.github.io/marketplaceimages/40_10.jpg,https://mikethemerchant.github.io/marketplaceimages/40_11.jpg,https://mikethemerchant.github.io/marketplaceimages/40_12.jpg,https://mikethemerchant.github.io/marketplaceimages/40_13.jpg,https://mikethemerchant.github.io/marketplaceimages/40_14.jpg,https://mikethemerchant.github.io/marketplaceimages/40_15.jpg,https://mikethemerchant.github.io/marketplaceimages/40_16.jpg,https://mikethemerchant.github.io/marketplaceimages/40_17.jpg,https://mikethemerchant.github.io/marketplaceimages/40_18.jpg,https://mikethemerchant.github.io/marketplaceimages/40_19.jpg,https://mikethemerchant.github.io/marketplaceimages/40_20.jpg,https://mikethemerchant.github.io/marketplaceimages/40_21.jpg,https://mikethemerchant.github.io/marketplaceimages/40_22.jpg,https://mikethemerchant.github.io/marketplaceimages/40_23.jpg,https://mikethemerchant.github.io/marketplaceimages/40_24.jpg,https://mikethemerchant.github.io/marketplaceimages/40_25.jpg,https://mikethemerchant.github.io/marketplaceimages/40_26.jpg,https://mikethemerchant.github.io/marketplaceimages/40_27.jpg,https://mikethemerchant.github.io/marketplaceimages/40_28.jpg",Draft,,
43,Next Level Racing Wheel Stand and Seat full cockpit,"Adjustable Next Level Racing wheel stand and chair cockpit, compatible with most racing wheels and pedals. Excellent for home sim setups.",Electronics ; Video Game Accessories ; Racing Gear,500,300,18614,"https://mikethemerchant.github.io/marketplaceimages/43_1.jpg,https://mikethemerchant.github.io/marketplaceimages/43_2.jpg,https://mikethemerchant.github.io/marketplaceimages/43_3.jpg,https://mikethemerchant.github.io/marketplaceimages/43_4.jpg,https://mikethemerchant.github.io/marketplaceimages/43_5.jpg,https://mikethemerchant.github.io/marketplaceimages/43_6.jpg,https://mikethemerchant.github.io/marketplaceimages/43_7.jpg,https://mikethemerchant.github.io/marketplaceimages/43_8.jpg,https://mikethemerchant.github.io/marketplaceimages/43_9.jpg",Draft,,
45,High-Performance Gaming PC - Like New,"Fully built gaming PC in excellent condition. Perfect for high-end gaming, streaming, and content creation.",Electronics ; Computers ; Desktops,1100,750,18614,"https://mikethemerchant.github.io/marketplaceimages/45_1.jpg,https://mikethemerchant.github.io/marketplaceimages/45_2.jpg,https://mikethemerchant.github.io/marketplaceimages/45_3.jpg,https://mikethemerchant.github.io/marketplaceimages/45_4.jpg,https://mikethemerchant.github.io/marketplaceimages/45_5.jpg,https://mikethemerchant.github.io/marketplaceimages/45_6.jpg,https://mikethemerchant.github.io/marketplaceimages/45_7.jpg,https://mikethemerchant.github.io/marketplaceimages/45_8.jpg,https://mikethemerchant.github.io/marketplaceimages/45_9.jpg,https://mikethemerchant.github.io/marketplaceimages/45_10.jpg,https://mikethemerchant.github.io/marketplaceimages/45_11.jpg,https://mikethemerchant.github.io/marketplaceimages/45_12.jpg,https://mikethemerchant.github.io/marketplaceimages/45_13.jpg,https://mikethemerchant.github.io/marketplaceimages/45_14.jpg",Draft,,
46,G-Force Professional Racing Helmet - Like New,"Full-face racing helmet, excellent for motorsport enthusiasts. Lightweight, safe, and well-maintained.",Sporting Goods ; Motorsports ; Helmets,600,350,18614,"https://mikethemerchant.github.io/marketplaceimages/46_1.jpg,https://mikethemerchant.github.io/marketplaceimages/46_2.jpg,https://mikethemerchant.github.io/marketplaceimages/46_3.jpg,https://mikethemerchant.github.io/marketplaceimages/46_4.jpg,https://mikethemerchant.github.io/marketplaceimages/46_5.jpg,https://mikethemerchant.github.io/marketplaceimages/46_6.jpg,https://mikethemerchant.github.io/marketplaceimages/46_7.jpg,https://mikethemerchant.github.io/marketplaceimages/46_8.jpg,https://mikethemerchant.github.io/marketplaceimages/46_9.jpg",Draft,,
47,"Sparco Motorsport Racing Shoes - Black, Like New","High-quality racing shoes in black. Lightweight, non-slip, and designed for maximum pedal feel.",Sporting Goods ; Motorsports ; Shoes,110,75,18614,"https://mikethemerchant.github.io/marketplaceimages/47_1.jpg,https://mikethemerchant.github.io/marketplaceimages/47_2.jpg,https://mikethemerchant.github.io/marketplaceimages/47_3.jpg,https://mikethemerchant.github.io/marketplaceimages/47_4.jpg,https://mikethemerchant.github.io/marketplaceimages/47_5.jpg,https://mikethemerchant.github.io/marketplaceimages/47_6.jpg",Draft,,
48,"Sparco Motorsport Racing Shoes - Red, Like New","Stylish red racing shoes. Lightweight, durable, and designed for performance on track or simulators.",Sporting Goods ; Motorsports ; Shoes,110,75,18614,"https://mikethemerchant.github.io/marketplaceimages/48_1.jpg,https://mikethemerchant.github.io/marketplaceimages/48_2.jpg,https://mikethemerchant.github.io/marketplaceimages/48_3.jpg,https://mikethemerchant.github.io/marketplaceimages/48_4.jpg,https://mikethemerchant.github.io/marketplaceimages/48_5.jpg,https://mikethemerchant.github.io/marketplaceimages/48_6.jpg,https://mikethemerchant.github.io/marketplaceimages/48_7.jpg",Draft,,
49,"Sparco Motorsport Racing Gloves, Socks, and Baclava - Black, Like New","High-quality black racing gloves. Comfortable fit, excellent grip, and perfect for track or sim racing.",Sporting Goods ; Motorsports ; Gloves,45,30,18614,"https://mikethemerchant.github.io/marketplaceimages/49_1.jpg,https://mikethemerchant.github.io/marketplaceimages/49_2.jpg,https://mikethemerchant.github.io/marketplaceimages/49_3.jpg,https://mikethemerchant.github.io/marketplaceimages/49_4.jpg,https://mikethemerchant.github.io/marketplaceimages/49_5.jpg,https://mikethemerchant.github.io/marketplaceimages/49_6.jpg,https://mikethemerchant.github.io/marketplaceimages/49_7.jpg,https://mikethemerchant.github.io/marketplaceimages/49_8.jpg,https://mikethemerchant.github.io/marketplaceimages/49_9.jpg,https://mikethemerchant.github.io/marketplaceimages/49_10.jpg,https://mikethemerchant.github.io/marketplaceimages/49_11.jpg,https://mikethemerchant.github.io/marketplaceimages/49_12.jpg,https://mikethemerchant.github.io/marketplaceimages/49_13.jpg,https://mikethemerchant.github.io/marketplaceimages/49_14.jpg",Draft,,
50,Sparco Professional Motorsport Racing Suit - Like New,"Full racing suit, fire-resistant, and in excellent condition. Ideal for motorsport enthusiasts or competitive racing.",Sporting Goods ; Motorsports ; Apparel,300,150,18614,"https://mikethemerchant.github.io/marketplaceimages/50_1.jpg,https://mikethemerchant.github.io/marketplaceimages/50_2.jpg,https://mikethemerchant.github.io/marketplaceimages/50_3.jpg,https://mikethemerchant.github.io/marketplaceimages/50_4.jpg,https://mikethemerchant.github.io/marketplaceimages/50_5.jpg,https://mikethemerchant.github.io/marketplaceimages/50_6.jpg,https://mikethemerchant.github.io/marketplaceimages/50_7.jpg",Draft,,
52,"Greathtek 4-Port KVM Switch - Share Keyboard, Video & Mouse","4-port KVM switch for controlling multiple computers with a single keyboard, monitor, and mouse. Excellent condition.",Electronics ; Networking & Peripherals ; Switches,40,20,18614,"https://mikethemerchant.github.io/marketplaceimages/52_1.jpg,https://mikethemerchant.github.io/marketplaceimages/52_2.jpg,https://mikethemerchant.github.io/marketplaceimages/52_3.jpg,https://mikethemerchant.github.io/marketplaceimages/52_4.jpg,https://mikethemerchant.github.io/marketplaceimages/52_5.jpg,https://mikethemerchant.github.io/marketplaceimages/52_6.jpg,https://mikethemerchant.github.io/marketplaceimages/52_7.jpg,https://mikethemerchant.github.io/marketplaceimages/52_8.jpg,https://mikethemerchant.github.io/marketplaceimages/52_9.jpg,https://mikethemerchant.github.io/marketplaceimages/52_10.jpg,https://mikethemerchant.github.io/marketplaceimages/52_11.jpg",Draft,,
53,Ergonomic Adjustable Monitor Mounts With Monitors,Adjustable monitor mounts for desk setups. Improve posture and save desk space.,Electronics ; Computers ; Monitors & Stands,150,75,18614,"https://mikethemerchant.github.io/marketplaceimages/53_1.jpg,https://mikethemerchant.github.io/marketplaceimages/53_2.jpg,https://mikethemerchant.github.io/marketplaceimages/53_3.jpg",Draft,,
54,FEZiBo Full Adjustable Sit-Stand Desk - Used,Height-adjustable desk for ergonomic workstations. Easily switch between sitting and standing.,Office Furniture ; Desks,200,75,18614,"https://mikethemerchant.github.io/marketplaceimages/54_1.jpg,https://mikethemerchant.github.io/marketplaceimages/54_2.jpg,https://mikethemerchant.github.io/marketplaceimages/54_3.jpg,https://mikethemerchant.github.io/marketplaceimages/54_4.jpg,https://mikethemerchant.github.io/marketplaceimages/54_5.jpg,https://mikethemerchant.github.io/marketplaceimages/54_6.jpg,https://mikethemerchant.github.io/marketplaceimages/54_7.jpg,https://mikethemerchant.github.io/marketplaceimages/54_8.jpg,https://mikethemerchant.github.io/marketplaceimages/54_9.jpg,https://mikethemerchant.github.io/marketplaceimages/54_10.jpg,https://mikethemerchant.github.io/marketplaceimages/54_11.jpg,https://mikethemerchant.github.io/marketplaceimages/54_12.jpg,https://mikethemerchant.github.io/marketplaceimages/54_13.jpg,https://mikethemerchant.github.io/marketplaceimages/54_14.jpg,https://mikethemerchant.github.io/marketplaceimages/54_15.jpg,https://mikethemerchant.github.io/marketplaceimages/54_16.jpg,https://mikethemerchant.github.io/marketplaceimages/54_17.jpg,https://mikethemerchant.github.io/marketplaceimages/54_18.jpg,https://mikethemerchant.github.io/marketplaceimages/54_19.jpg,https://mikethemerchant.github.io/marketplaceimages/54_20.jpg,https://mikethemerchant.github.io/marketplaceimages/54_21.jpg,https://mikethemerchant.github.io/marketplaceimages/54_22.jpg",Draft,,
